ID_UNICO,TIMESTAMP,HORA_EXACTA_REPORTE,FECHA,REGION,COMUNA,EMPRESA,CLIENTES_AFECTADOS,ACTUALIZADO_HACE
26/2/2025----1-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,Metropolitana,Santiago,ENEL,1,0 Dias 0 Horas 12 Minutos 
26/2/2025----1-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,Los Lagos,Osorno,SAESA,1,0 Dias 0 Horas 12 Minutos 
26/2/2025----1-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,Los Rios,Futrono,SAESA,1,0 Dias 0 Horas 12 Minutos 
26/2/2025----1-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,Maule,Maule,CGE,1,0 Dias 0 Horas 12 Minutos 
26/2/2025----1-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,Metropolitana,Puente Alto,CGE,1,0 Dias 0 Horas 12 Minutos 
26/2/2025----1-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,Metropolitana,San Bernardo,CGE,1,0 Dias 0 Horas 12 Minutos 
26/2/2025----1-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,Metropolitana,San Bernardo,CGE,1,0 Dias 0 Horas 12 Minutos 
26/2/2025----1-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,Antofagasta,Antofagasta,CGE,1,0 Dias 0 Horas 12 Minutos 
26/2/2025----1-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,Valparaiso,Viña del Mar,CGE,1,0 Dias 0 Horas 12 Minutos 
26/2/2025----1-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,O`Higgins,Peralillo,CGE,1,0 Dias 0 Horas 12 Minutos 
26/2/2025----1-2025-02-26 23:30:03,2025-02-26 23:42:03,2025-02-26 23:30:03,26/2/2025,Metropolitana,Huechuraba,ENEL,1,0 Dias 0 Horas 12 Minutos 
